inspection_id,dba_name,address,raw_license,resolved_license,fix_status,candidate_licenses
2589052,BOBBY E WRIGHT,3525 W JACKSON,0,,unresolved,
2588586,PACIFIC GARDEN MISSION,1458 S CANAL ST,0,,unresolved,
2588502,INN OF CHICAGO,162 E OHIO ST,0,,ambiguous,2506391;2506392
2588471,INN OF CHICAGO,162 E OHIO ST,0,,ambiguous,2506391;2506392
2586686,OMBUDSMAN ROSELAND,10928 S HALSTED ST,0,,unresolved,
2586572,LOVE'S LEAFY BEAN LLC,9501 S DR MARTIN LUTHER KING JR DR,0,,unresolved,
2586256,SUR LA TABLE,900 N MICHIGAN AVE,,,unresolved,
2586119,MERCY HOME FOR GIRLS,11600 S LONGWOOD DR,0,,unresolved,
2585318,HEARTLAND HUMAN CARE INTERNATIONL CHILDREN CTR.,1620 W CHASE ST BLDG 1ST-2NDFL&BSMT,0,,unresolved,
2582571,HOTEL CHICAGO,1622 W JACKSON BLVD,0,3007266,recovered_name_addr,3007266
2582610,JOE'S BARBEQ AND FISH #1,4809-11 W MADISON ST,0,,unresolved,
2582280,GARFIELD EXPRESS,43 N HOMAN,0,,unresolved,
2581939,LITTLE BLACK PEARL,1060 E 47TH ST,0,,unresolved,
2581712,ANNUNCIATION GREEK ORTHODOX CHURCH,1017 N LA SALLE DR,0,,unresolved,
2581647,JOE'S BARBEQ AND FISH #1,4809-11 W MADISON ST,0,,unresolved,
2581390,ST. PAULS CHURCH,2335 N ORCHARD ST,0,,unresolved,
2581027,ST STANISLAUS B&M CHURCH,5352 W BELDEN AVE,0,,unresolved,
2581000,YOUNG SHING FOODS INC.,2119 S PEORIA ST,0,,unresolved,
2580922,WINGS GREENS & THINGS,6767 S SOUTH CHICAGO AVE,0,,unresolved,
2580463,EPIPHANY PARISH/CHURCH,2524 S KEELER AVE,0,,unresolved,
2579790,HOLY NATIVITY ROMANIAN ORTHODOX CHURCH,2820 W ARDMORE ST,0,,unresolved,
2578787,RISING SUN JERK,74 E 71ST ST,0,2944115,recovered_name_addr,2944115
2578277,ST. JEROME PARISH,1709 W LUNT,0,,unresolved,
2578219,EPIPHANY PARISH/CHURCH,2524 S KEELER AVE,0,,unresolved,
2578215,JEWISH COMMUNITY CENTER,1630 N MILWAUKEE AVE,0,,unresolved,
2577758,PENNINGTON'S FOOD AND SNACKS,410 E 79TH ST,0,,unresolved,
2577749,ST. ANDREW'S GREEK ORTHODOX CHURCH,5649 N Sheridan RD,0,,unresolved,
2577760,SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,0,,ambiguous,2114300;2205617;23243;23245
2577701,MARYVILLE ACADEMY ST. ROSE OF LIMA,1456 W OAKDALE AVE,0,,unresolved,
2577241,SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,0,,ambiguous,2114300;2205617;23243;23245
2577074,JEWISH COMMUNITY CENTER,1630 N MILWAUKEE AVE,0,,unresolved,
2577016,DEAR MADISON,1140 W MADISON,0,,ambiguous,2419015;2419016
2576806,MINI SUPER DANY,10111 S EWING AVE,0,,unresolved,
2576555,ST. DEMETRIOS GREEK ORTHODOX CHURCH,2727 W WINONA ST,0,,unresolved,
2576550,MIDWEST BUDDHIST TEMPLE,435 W MENOMONEE,0,,unresolved,
